Investigator,,Time (s),Electrode,Amplitude (mV)
,,00170.954320,A2_33,0.015
,,00170.956240,A2_24,0.031
,,00170.961920,A2_66,0.012
,,00170.972320,A2_43,0.013
,,00170.975440,A2_33,0.015
,,00171.010080,A2_33,0.015
,,00171.060560,A2_28,0.01
,,00171.069520,A2_33,0.015
,,00171.110000,A2_33,0.017
,,00171.112720,A2_33,0.014
,,00171.127360,A2_66,0.019
,,00171.129440,A2_33,0.015
,,00171.131760,A1_36,0.015
,,00171.177840,A2_33,0.015
,,00171.182000,A2_33,0.015
,,00171.272480,A2_33,0.014
,,00171.320880,A2_24,0.017
,,00171.406880,A3_26,0.014
,,00171.438080,A2_66,0.012
,,00171.479840,A2_33,0.014
,,00171.517280,A2_24,0.02
,,00171.529120,A2_33,0.014
,,00171.708480,A3_31,0.017
,,00171.798960,A2_33,0.015
,,00172.291760,A3_31,0.018
,,00172.592080,A3_31,0.02
,,00172.794880,A2_21,0.013
,,00173.349200,A3_31,0.016
,,00174.029440,A3_31,0.019
,,00174.064480,A2_22,0.014
,,00174.064640,A2_11,0.023
,,00174.156640,A2_24,0.028
,,00174.234480,A2_46,0.017
,,00174.261520,A2_66,0.021
,,00174.334240,A2_33,0.024
,,00174.380960,A2_33,0.015
,,00174.388080,A2_33,0.016
,,00174.402240,A2_24,0.025
,,00174.407360,A2_66,0.025
,,00174.428560,A2_33,0.014
,,00174.428640,A2_21,0.021
,,00174.444160,A2_24,0.018
,,00174.448320,A2_21,0.026
,,00174.456880,A2_21,0.018
,,00174.468480,A2_21,0.014
,,00174.481920,A2_21,0.015
,,00174.486480,A2_33,0.017
,,00174.496320,A2_66,0.024
,,00174.518080,A2_33,0.016
,,00174.558720,A2_42,0.013
,,00174.565120,A2_24,0.014
,,00174.572160,A2_33,0.013
,,00174.587600,A2_66,0.022
,,00174.602720,A2_42,0.014
,,00174.621040,A2_33,0.015
,,00174.635840,A2_21,0.014
,,00174.648320,A2_33,0.017
,,00174.648800,A2_32,0.014
,,00174.661440,A2_66,0.022
,,00174.705600,A2_66,0.01
,,00174.711120,A2_66,0.011
,,00174.718000,A2_33,0.016
,,00174.722720,A2_33,0.011
,,00174.737520,A2_24,0.016
,,00174.768160,A2_66,0.012
,,00174.847200,A2_33,0.014
,,00174.864560,A2_24,0.019
,,00174.877840,A2_24,0.021
,,00174.888240,A2_28,0.011
,,00174.905040,A2_33,0.026
,,00174.960080,A2_33,0.013
,,00174.985200,A2_66,0.019
,,00175.066000,A2_33,0.021
,,00175.108400,A2_24,0.019
,,00175.189920,A2_22,0.012
,,00175.275200,A2_33,0.013
,,00175.624560,A2_46,0.016
,,00177.151120,A3_31,0.02
,,00177.235440,A3_31,0.019
,,00178.051120,A3_21,0.011
,,00178.397760,A2_46,0.016
,,00178.698080,A3_26,0.013
,,00178.812640,A3_21,0.017
,,00179.193360,A2_21,0.024
,,00179.269840,A2_21,0.018
,,00179.674560,A2_22,0.018
,,00179.675680,A2_11,0.021
,,00179.718320,A3_21,0.016
,,00179.773600,A2_24,0.023
,,00179.797280,A2_22,0.019
,,00179.897840,A2_56,0.012
,,00179.897840,A2_66,0.024
,,00179.990640,A2_33,0.016
,,00180.000800,A2_24,0.023
,,00180.021440,A2_66,0.024
,,00180.027920,A2_21,0.029
,,00180.049040,A2_24,0.022
,,00180.052800,A2_21,0.021
,,00180.062480,A2_24,0.017
,,00180.064480,A2_21,0.024
,,00180.066240,A2_33,0.013
,,00180.071360,A2_22,0.013
,,00180.083840,A2_66,0.021
,,00180.087360,A2_21,0.017
,,00180.107120,A2_33,0.014
,,00180.133120,A2_43,0.014
,,00180.146640,A2_22,0.014
,,00180.154800,A2_33,0.015
,,00180.155120,A2_66,0.02
,,00180.156720,A2_22,0.009
,,00180.163280,A2_33,0.013
,,00180.178400,A2_33,0.014
,,00180.185520,A2_33,0.018
,,00180.194720,A2_66,0.018
,,00180.203920,A2_32,0.015
,,00180.207760,A2_33,0.017
,,00180.208720,A2_21,0.019
,,00180.212000,A2_11,0.018
,,00180.217600,A3_31,0.018
,,00180.220160,A2_66,0.023
,,00180.231520,A2_33,0.024
,,00180.253280,A2_33,0.015
,,00180.260160,A2_46,0.016
,,00180.261200,A2_24,0.023
,,00180.262320,A2_66,0.023
,,00180.272640,A2_21,0.013
,,00180.355120,A2_33,0.013
,,00180.371040,A2_33,0.014
,,00180.418240,A2_33,0.019
,,00180.469760,A2_33,0.015
,,00180.477280,A2_33,0.015
,,00180.503680,A2_24,0.019
,,00180.524000,A2_33,0.017
,,00180.534880,A2_66,0.012
,,00180.610640,A2_33,0.014
,,00180.682560,A2_33,0.012
,,00180.746080,A2_33,0.013
,,00180.832800,A3_31,0.018
,,00180.913760,A2_33,0.012
,,00180.963120,A2_66,0.02
,,00181.099600,A3_31,0.02
,,00181.241760,A2_33,0.013
,,00181.410240,A3_31,0.018
,,00182.058800,A2_21,0.021
,,00182.347440,A3_31,0.021
,,00182.736160,A3_31,0.017
,,00182.776080,A3_28,0.019
,,00183.073600,A3_26,0.016
,,00183.976080,A3_26,0.018
,,00184.009440,A2_21,0.025
,,00184.236640,A3_26,0.015
,,00184.419200,A2_22,0.02
,,00184.459520,A2_24,0.018
,,00184.470560,A2_24,0.021
,,00184.540080,A2_66,0.023
,,00184.562160,A2_46,0.02
,,00184.579680,A2_33,0.014
,,00184.591680,A2_33,0.016
,,00184.610000,A2_22,0.014
,,00184.611920,A2_33,0.015
,,00184.621840,A2_24,0.016
,,00184.623440,A2_21,0.024
,,00184.635040,A2_24,0.016
,,00184.636400,A2_66,0.022
,,00184.642800,A2_33,0.018
,,00184.646720,A2_11,0.019
,,00184.664320,A2_21,0.026
,,00184.668400,A2_24,0.017
,,00184.673680,A2_33,0.02
,,00184.676800,A2_21,0.016
,,00184.690960,A2_33,0.014
,,00184.694640,A2_33,0.016
,,00184.700480,A2_66,0.02
,,00184.705920,A2_24,0.016
,,00184.707360,A2_11,0.026
,,00184.722720,A2_46,0.015
,,00184.725520,A2_33,0.015
,,00184.726400,A2_21,0.015
,,00184.736400,A2_33,0.014
,,00184.759760,A2_24,0.022
,,00184.781280,A2_33,0.014
,,00184.790240,A2_66,0.015
,,00184.807680,A2_33,0.018
,,00184.823760,A2_24,0.021
,,00184.834400,A2_33,0.016
,,00184.842800,A2_22,0.017
,,00184.850080,A2_66,0.019
,,00184.852880,A2_21,0.019
,,00184.876320,A2_56,0.013
,,00184.892720,A2_66,0.018
,,00184.894640,A2_33,0.015
,,00184.937760,A2_33,0.016
,,00184.943920,A2_66,0.021
,,00184.950880,A2_46,0.015
,,00184.956400,A2_21,0.014
,,00184.972640,A2_24,0.024
,,00185.030400,A2_33,0.015
,,00185.084320,A2_33,0.014
,,00185.101600,A2_33,0.017
,,00185.168000,A2_33,0.015
,,00185.175280,A2_66,0.016
,,00185.176000,A2_33,0.014
,,00185.249120,A2_33,0.014
,,00185.268240,A2_33,0.019
,,00185.291280,A2_28,0.011
,,00185.420640,A2_46,0.017
,,00185.446480,A2_33,0.012
,,00185.464160,A2_66,0.016
,,00185.480160,A2_22,0.014
,,00185.777280,A2_33,0.013
,,00186.700080,A2_21,0.025
,,00187.273520,A3_31,0.023
,,00188.501840,A2_22,0.021
,,00188.562320,A2_23,0.013
,,00188.574640,A2_24,0.027
,,00188.577920,A2_46,0.017
,,00188.583280,A2_22,0.015
,,00188.585680,A2_24,0.023
,,00188.595520,A2_24,0.015
,,00188.612640,A2_66,0.022
,,00188.612720,A2_56,0.012
,,00188.630000,A2_33,0.018
,,00188.639200,A2_52,0.015
,,00188.645440,A2_33,0.017
,,00188.648320,A2_11,0.019
,,00188.662480,A2_56,0.014
,,00188.664000,A2_33,0.019
,,00188.684080,A2_33,0.014
,,00188.684400,A2_21,0.024
,,00188.688480,A2_21,0.015
,,00188.695520,A2_21,0.024
,,00188.696000,A2_66,0.022
,,00188.709120,A2_24,0.021
,,00188.716320,A2_33,0.019
,,00188.719040,A2_21,0.022
,,00188.743200,A2_22,0.017
,,00188.762400,A2_66,0.02
,,00188.780480,A2_33,0.02
,,00188.806880,A2_33,0.015
,,00188.811120,A2_33,0.016
,,00188.829440,A2_24,0.022
,,00188.836080,A2_21,0.02
,,00188.838560,A2_22,0.013
,,00188.841120,A2_22,0.014
,,00188.842160,A2_24,0.016
,,00188.844720,A2_33,0.017
,,00188.854240,A2_66,0.019
,,00188.883920,A2_33,0.016
,,00188.903680,A3_21,0.014
,,00188.914320,A2_33,0.016
,,00188.922160,A2_66,0.01
,,00188.928160,A2_21,0.013
,,00188.937520,A3_21,0.012
,,00188.953360,A2_66,0.013
,,00188.956720,A2_14,0.015
,,00188.976160,A2_33,0.014
,,00188.995280,A2_66,0.012
,,00189.003040,A2_33,0.017
,,00189.005280,A2_33,0.013
,,00189.018560,A2_33,0.016
,,00189.036000,A2_24,0.024
,,00189.043840,A2_46,0.017
,,00189.069360,A2_33,0.014
,,00189.100080,A2_33,0.019
,,00189.132960,A2_33,0.014
,,00189.175920,A2_66,0.014
,,00189.223600,A2_33,0.013
,,00189.313200,A2_24,0.019
,,00189.326560,A2_24,0.021
,,00189.329840,A2_33,0.013
,,00189.403600,A2_33,0.014
,,00189.443920,A2_33,0.013
,,00189.539840,A2_66,0.011
,,00189.682240,A2_46,0.017
,,00189.691680,A3_21,0.013
,,00189.701120,A2_33,0.017
,,00189.926720,A2_33,0.016
,,00190.290560,A3_21,0.014
,,00190.805520,A2_21,0.023
,,00192.575040,A3_31,0.021
,,00192.684080,A2_21,0.022
,,00192.739120,A2_22,0.023
,,00192.816000,A2_24,0.025
,,00192.837280,A2_46,0.015
,,00192.876960,A2_22,0.013
,,00192.877040,A2_11,0.016
,,00192.926400,A2_66,0.025
,,00192.992960,A2_33,0.016
,,00193.017600,A2_24,0.018
,,00193.036400,A2_21,0.029
,,00193.037440,A2_31,0.013
,,00193.039200,A2_21,0.012
,,00193.040480,A2_66,0.027
,,00193.067040,A2_21,0.025
,,00193.081120,A2_24,0.023
,,00193.081760,A2_33,0.018
,,00193.087200,A2_33,0.015
,,00193.089520,A2_21,0.016
,,00193.110880,A2_33,0.013
,,00193.111760,A2_66,0.022
,,00193.115920,A2_56,0.015
,,00193.120240,A2_33,0.019
,,00193.156400,A2_33,0.012
,,00193.168080,A2_33,0.013
,,00193.192960,A2_66,0.014
,,00193.195120,A2_24,0.021
,,00193.216240,A2_22,0.012
,,00193.217840,A2_33,0.019
,,00193.233040,A2_33,0.017
,,00193.265120,A2_12,0.018
,,00193.268000,A2_66,0.02
,,00193.282880,A2_33,0.017
,,00193.301680,A2_46,0.016
,,00193.306240,A2_22,0.016
,,00193.309680,A2_66,0.016
,,00193.320080,A2_33,0.013
,,00193.322400,A2_33,0.015
,,00193.334800,A2_33,0.01
,,00193.360400,A2_66,0.01
,,00193.379760,A2_24,0.017
,,00193.408800,A2_33,0.013
,,00193.416000,A2_24,0.018
,,00193.450240,A2_33,0.015
,,00193.455040,A2_31,0.01
,,00193.468800,A2_33,0.017
,,00193.492400,A2_33,0.015
,,00193.603920,A2_28,0.01
,,00193.618080,A2_33,0.013
,,00193.731840,A2_33,0.015
,,00193.890480,A2_33,0.013
,,00194.363760,A3_31,0.015
,,00194.660880,A3_31,0.022
,,00194.722000,B2_31,0.015
,,00194.726800,B2_32,0.014
,,00194.727440,B2_23,0.03
,,00194.734960,B2_31,0.013
,,00194.742880,B2_23,0.029
,,00194.752960,B2_23,0.023
,,00194.763680,B2_23,0.023
,,00194.765120,B2_43,0.012
,,00194.776000,B2_32,0.013
,,00194.791680,B2_23,0.028
,,00194.826080,B2_23,0.021
,,00194.876800,B2_23,0.023
,,00194.897760,B2_23,0.021
,,00194.916000,B2_32,0.012
,,00194.951040,B2_32,0.012
,,00194.984800,B2_32,0.014
,,00195.032960,B2_32,0.013
,,00195.091840,B2_23,0.021
,,00195.162000,A3_31,0.018
,,00195.319280,A2_21,0.02
,,00195.359760,B2_32,0.016
,,00195.360800,B2_23,0.024
,,00195.695440,A3_31,0.02
,,00195.970080,A3_21,0.01
,,00196.406480,A3_21,0.012
,,00196.725600,A2_24,0.022
,,00196.918960,A2_46,0.018
,,00197.092400,A2_21,0.024
,,00198.052160,B2_32,0.017
,,00198.053280,B2_23,0.029
,,00198.056080,B2_43,0.011
,,00198.075600,B2_31,0.01
,,00198.080000,B2_32,0.014
,,00198.089040,B2_23,0.026
,,00198.094720,B2_43,0.012
,,00198.125040,B2_23,0.024
,,00198.135200,A2_22,0.017
,,00198.157680,A2_24,0.02
,,00198.162880,B2_32,0.014
,,00198.163760,B2_23,0.029
,,00198.168320,A2_24,0.024
,,00198.210000,A2_66,0.024
,,00198.235200,B2_32,0.017
,,00198.236080,B2_23,0.024
,,00198.246480,A2_33,0.018
,,00198.254720,B2_23,0.022
,,00198.255360,A2_33,0.016
,,00198.262000,A2_21,0.027
,,00198.280320,A2_66,0.027
,,00198.285920,A2_21,0.015
,,00198.294560,A2_21,0.013
,,00198.325920,A2_46,0.016
,,00198.326560,A2_33,0.016
,,00198.340560,B2_43,0.01
,,00198.345120,A2_66,0.023
,,00198.346480,A2_33,0.017
,,00198.365280,A2_33,0.015
,,00198.368400,B2_23,0.026
,,00198.387280,A2_33,0.015
,,00198.391520,A2_24,0.031
,,00198.391680,B2_32,0.013
,,00198.402640,A2_24,0.022
,,00198.409600,A2_33,0.016
,,00198.421840,B2_32,0.014
,,00198.448160,A2_33,0.016
,,00198.462720,A2_66,0.016
,,00198.466720,A2_21,0.021
,,00198.485600,A2_33,0.015
,,00198.492880,A2_22,0.012
,,00198.513120,A2_33,0.014
,,00198.525440,A2_33,0.014
,,00198.534240,A2_56,0.014
,,00198.591120,B2_32,0.014
,,00198.592000,B2_23,0.022
,,00198.596800,A2_33,0.018
,,00198.603280,A2_33,0.013
,,00198.653760,B2_32,0.012
,,00198.654720,B2_23,0.021
,,00198.678400,A3_31,0.017
,,00198.706000,B2_43,0.012
,,00198.708240,B2_32,0.011
,,00198.709120,B2_23,0.026
,,00198.748320,A2_33,0.02
,,00198.775120,A2_66,0.019
,,00198.788320,A2_33,0.016
,,00198.794960,B2_32,0.012
,,00198.817440,B2_32,0.013
,,00198.818800,A2_28,0.012
,,00198.858800,A2_33,0.016
,,00198.909120,A2_33,0.016
,,00198.914080,B2_23,0.024
,,00198.927120,A2_33,0.013
,,00198.961120,B2_23,0.023
,,00199.007440,A2_22,0.014
,,00199.017760,B2_32,0.015
,,00199.028240,A2_33,0.018
,,00199.079840,B2_32,0.014
,,00199.080400,A2_33,0.013
,,00199.080800,B2_23,0.023
,,00199.194160,B2_23,0.028
,,00199.302640,B2_23,0.018
,,00199.372880,B2_23,0.022
,,00199.437280,B2_23,0.024
,,00199.467040,A2_33,0.015
,,00199.481840,B2_32,0.013
,,00199.482800,B2_23,0.019
,,00199.510480,B2_32,0.017
,,00199.623680,B2_23,0.026
,,00199.693040,B2_23,0.023
,,00199.745360,B2_23,0.025
,,00199.867120,B2_32,0.014
,,00199.952720,B2_23,0.025
,,00200.073600,B2_32,0.015
,,00200.109600,B2_32,0.015
,,00200.171200,B2_32,0.014
,,00200.269040,A3_31,0.018
,,00200.318720,B2_32,0.014
,,00200.319760,B2_23,0.024
,,00200.392080,B2_32,0.013
,,00200.393120,B2_23,0.022
,,00200.424720,B2_23,0.027
,,00200.515760,B2_32,0.016
,,00200.516800,B2_23,0.026
,,00200.617680,B2_32,0.019
,,00200.705120,A2_21,0.024
,,00200.756000,B2_32,0.012
,,00200.757040,B2_23,0.021
,,00200.860560,B2_23,0.021
,,00201.260000,B2_32,0.017
,,00201.261200,B2_23,0.028
,,00201.311840,B2_23,0.028
,,00201.427520,B2_32,0.014
,,00201.428640,B2_23,0.028
,,00201.571520,B2_32,0.015
,,00201.572640,B2_23,0.027
,,00201.669280,A3_31,0.02
,,00201.824720,A3_21,0.012
,,00201.939200,B2_32,0.016
,,00201.940080,B2_23,0.034
,,00201.944400,B2_43,0.011
,,00201.963760,B2_23,0.024
,,00201.974880,B2_23,0.036
,,00201.988640,B2_43,0.011
,,00202.049520,B2_23,0.023
,,00202.100640,B2_32,0.013
,,00202.140880,B2_32,0.012
,,00202.141760,B2_23,0.021
,,00202.181040,B2_23,0.019
,,00202.209840,B2_32,0.012
,,00202.210800,B2_23,0.025
,,00202.252800,B2_32,0.013
,,00202.253760,B2_23,0.024
,,00202.320000,B2_32,0.015
,,00202.321040,B2_23,0.025
,,00202.364880,B2_23,0.023
,,00202.503360,B2_23,0.023
,,00202.603520,A2_46,0.016
,,00202.611920,B2_32,0.015
,,00202.612960,B2_23,0.026
,,00202.621120,A2_11,0.021
,,00202.621280,A2_22,0.014
,,00202.661280,A2_24,0.023
,,00202.671840,A2_24,0.026
,,00202.681760,A2_11,0.021
,,00202.713280,A2_21,0.024
,,00202.729600,A2_66,0.023
,,00202.742400,A2_33,0.017
,,00202.774160,A2_33,0.014
,,00202.781280,A2_33,0.017
,,00202.785360,A2_24,0.016
,,00202.800480,A2_33,0.012
,,00202.805760,A2_33,0.016
,,00202.814160,A2_21,0.027
,,00202.817760,A2_66,0.024
,,00202.822160,A2_24,0.017
,,00202.825040,A2_24,0.017
,,00202.844080,A2_33,0.016
,,00202.845600,B2_32,0.015
,,00202.846720,B2_23,0.028
,,00202.850240,A2_21,0.023
,,00202.861680,A2_21,0.016
,,00202.872720,A2_21,0.024
,,00202.873520,A2_33,0.015
,,00202.877120,A2_66,0.022
,,00202.882560,A2_33,0.013
,,00202.903440,A2_33,0.018
,,00202.928080,A2_33,0.018
,,00202.929200,B2_23,0.025
,,00202.936960,A2_21,0.024
,,00202.940160,A2_66,0.02
,,00202.946720,A2_22,0.015
,,00202.950960,A2_22,0.014
,,00202.969920,B2_23,0.025
,,00202.996480,A2_22,0.013
,,00202.998720,A2_22,0.013
,,00203.013440,A2_66,0.013
,,00203.021680,B2_23,0.026
,,00203.024320,A2_21,0.021
,,00203.035280,A2_21,0.013
,,00203.049280,A2_24,0.025
,,00203.054400,A2_66,0.015
,,00203.065200,A2_33,0.015
,,00203.100080,A2_66,0.022
,,00203.102160,B2_32,0.012
,,00203.103120,B2_23,0.021
,,00203.103360,A2_46,0.01
,,00203.152960,A2_28,0.011
,,00203.153280,B2_23,0.026
,,00203.161680,A2_33,0.014
,,00203.190160,B2_23,0.021
,,00203.257040,A2_33,0.016
,,00203.313920,A2_66,0.021
,,00203.316480,B2_23,0.024
,,00203.331360,A2_33,0.012
,,00203.381120,A2_33,0.016
,,00203.381920,A2_24,0.022
,,00203.434080,B2_32,0.015
,,00203.435120,B2_23,0.025
,,00203.485680,B2_23,0.022
,,00203.528240,B2_32,0.012
,,00203.567040,B2_32,0.016
,,00203.568000,B2_23,0.025
,,00203.612800,A2_33,0.015
,,00203.628080,A2_66,0.014
,,00203.633360,A2_33,0.019
,,00203.638560,B2_32,0.012
,,00203.639600,B2_23,0.023
,,00203.723760,B2_23,0.026
,,00203.739840,A2_33,0.013
,,00203.792320,A2_24,0.017
,,00204.245440,B2_32,0.016
,,00204.246400,B2_23,0.031
,,00204.290000,B2_32,0.013
,,00204.291040,B2_23,0.022
,,00204.414160,B2_23,0.026
,,00204.483040,B2_32,0.014
,,00204.484080,B2_23,0.024
,,00204.531600,B2_23,0.031
,,00204.688960,B2_32,0.016
,,00204.690000,B2_23,0.024
,,00204.740400,B2_32,0.015
,,00204.741440,B2_23,0.02
,,00204.799600,B2_32,0.014
,,00204.869760,B2_23,0.022
,,00204.984640,B2_32,0.016
,,00204.986000,A2_21,0.022
,,00205.071840,B2_23,0.025
,,00205.119920,B2_32,0.013
,,00205.120880,B2_23,0.026
,,00205.418160,A3_31,0.021
,,00205.801040,A3_21,0.012
,,00205.952960,A3_21,0.01
,,00206.174960,B2_32,0.015
,,00206.176080,B2_23,0.03
,,00206.231680,B2_32,0.014
,,00206.232640,B2_23,0.023
,,00206.464560,A2_21,0.024
,,00206.613040,A2_46,0.02
,,00206.930560,B2_32,0.017
,,00206.931680,B2_23,0.03
,,00206.940560,B2_32,0.012
,,00206.945920,B2_31,0.011
,,00206.951280,A3_26,0.017
,,00206.975280,B2_32,0.017
,,00206.976240,B2_23,0.023
,,00206.991840,B2_23,0.02
,,00207.008640,B2_32,0.013
,,00207.041120,A3_21,0.012
,,00207.053760,B2_23,0.02
,,00207.076320,B2_32,0.015
,,00207.077280,B2_23,0.018
,,00207.146320,B2_23,0.023
,,00207.190880,A2_22,0.013
,,00207.202240,B2_23,0.025
,,00207.231440,B2_23,0.025
,,00207.277760,A2_24,0.027
,,00207.288320,A2_22,0.016
,,00207.319680,A2_56,0.013
,,00207.332800,A2_66,0.024
,,00207.343040,A2_46,0.016
,,00207.366320,A2_33,0.016
,,00207.377360,B2_23,0.022
,,00207.380480,A2_24,0.017
,,00207.382880,A2_33,0.015
,,00207.399360,A2_33,0.014
,,00207.422240,A2_66,0.022
,,00207.423680,A2_56,0.014
,,00207.428480,A2_21,0.026
,,00207.442800,A2_33,0.018
,,00207.448720,A2_21,0.027
,,00207.451280,A2_33,0.015
,,00207.456640,A2_24,0.021
,,00207.458320,A2_33,0.016
,,00207.458880,A2_21,0.023
,,00207.475760,A2_66,0.015
,,00207.488960,A2_24,0.022
,,00207.490480,A2_33,0.022
,,00207.512000,A2_28,0.011
,,00207.535360,A2_33,0.014
,,00207.548480,A2_66,0.014
,,00207.558800,A2_22,0.013
,,00207.566240,B2_23,0.023
,,00207.590320,A2_22,0.014
,,00207.599120,A2_21,0.012
,,00207.601760,A2_21,0.011
,,00207.606880,A2_33,0.014
,,00207.607840,A2_66,0.023
,,00207.645120,A2_21,0.024
,,00207.647040,A2_66,0.019
,,00207.659520,A2_33,0.011
,,00207.690400,A2_66,0.021
,,00207.695680,A2_33,0.014
,,00207.701360,A2_46,0.014
,,00207.723680,A2_33,0.014
,,00207.727760,A2_33,0.015
,,00207.787920,A2_33,0.016
,,00207.813360,A2_33,0.015
,,00207.897280,A2_33,0.013
,,00207.903200,A2_66,0.019
,,00207.946400,B2_32,0.017
,,00207.947520,B2_23,0.024
,,00207.956960,A2_24,0.019
,,00207.968800,A2_33,0.014
,,00208.010960,B2_23,0.023
,,00208.047680,A2_33,0.016
,,00208.085840,B2_32,0.013
,,00208.086880,B2_23,0.022
,,00208.113440,A2_24,0.014
,,00208.154560,A2_33,0.013
,,00208.169040,A2_66,0.02
,,00208.173360,B2_32,0.017
,,00208.174160,B2_23,0.029
,,00208.233360,A2_33,0.015
,,00208.240480,B2_23,0.023
,,00208.301840,B2_23,0.02
,,00208.374560,A2_33,0.013
,,00208.438480,A2_33,0.014
,,00208.498000,A3_31,0.02
,,00209.042880,B2_32,0.015
,,00209.044000,B2_23,0.026
,,00210.011440,B2_23,0.024
,,00210.218720,A3_31,0.011
,,00211.343840,A2_21,0.02
,,00211.417760,A2_21,0.022
,,00211.960320,A2_13,0.014
,,00212.154960,A3_31,0.015
,,00212.487520,A2_22,0.013
,,00212.544480,A2_24,0.02
,,00212.556480,A2_24,0.026
,,00212.567200,A2_22,0.014
,,00212.567360,A2_11,0.021
,,00212.579520,A2_46,0.017
,,00212.602000,A2_66,0.024
,,00212.602080,A2_46,0.015
,,00212.626240,A2_11,0.018
,,00212.653760,A2_33,0.015
,,00212.660880,A2_33,0.016
,,00212.671520,A2_24,0.022
,,00212.685280,A2_66,0.021
,,00212.688720,A2_21,0.03
,,00212.700480,A2_24,0.022
,,00212.702080,A2_43,0.015
,,00212.706320,A2_21,0.021
,,00212.716560,A2_24,0.015
,,00212.727760,A2_22,0.013
,,00212.727840,A2_21,0.014
,,00212.733600,A2_66,0.022
,,00212.737760,A2_21,0.017
,,00212.747200,A2_33,0.014
,,00212.747600,A2_44,0.014
,,00212.763520,A2_33,0.014
,,00212.772480,A2_33,0.019
,,00212.787120,A2_33,0.016
,,00212.792400,A2_66,0.019
,,00212.848720,A2_33,0.016
,,00212.849120,A2_66,0.014
,,00212.859360,A2_21,0.012
,,00212.862320,A2_21,0.017
,,00212.885520,A2_66,0.018
,,00212.899680,A2_33,0.018
,,00212.912640,A2_28,0.012
,,00212.914480,A2_46,0.02
,,00212.919120,A2_66,0.021
,,00212.930320,A2_24,0.016
,,00212.932320,A2_33,0.015
,,00212.942960,A2_24,0.018
,,00212.969760,A2_33,0.019
,,00212.979040,A2_28,0.012
,,00213.071200,A3_21,0.018
,,00213.106640,A3_41,0.015
,,00213.122320,A2_33,0.016
,,00213.127120,A2_28,0.009
,,00213.132720,A3_21,0.014
,,00213.164400,A2_24,0.024
,,00213.176880,A3_21,0.016
,,00213.197520,A2_33,0.015
,,00213.201840,A2_66,0.012
,,00213.206640,A2_33,0.012
,,00213.286320,A2_33,0.015
,,00213.307760,A2_33,0.014
,,00213.377680,A2_33,0.018
,,00213.520880,A2_56,0.012
,,00213.578640,A2_66,0.024
,,00213.593120,A2_24,0.018
,,00213.725040,A2_33,0.022
,,00213.804560,A3_21,0.015
,,00214.202480,A3_31,0.019
,,00214.275440,A3_21,0.018
,,00214.822400,A2_21,0.024
,,00215.016640,A3_31,0.021
,,00215.527520,A3_31,0.02
,,00215.844160,A2_46,0.015
,,00215.959040,A3_31,0.021
,,00216.821200,A3_21,0.016
,,00216.828400,A3_31,0.014
,,00216.880560,A2_21,0.024
,,00216.898320,A3_21,0.016
,,00216.953120,A3_21,0.008
,,00216.961760,A3_26,0.017
,,00217.020320,A3_21,0.015
,,00217.269200,A3_21,0.013
,,00217.469920,A2_22,0.018
,,00217.471120,A2_11,0.021
,,00217.524560,A2_46,0.018
,,00217.544640,A2_23,0.014
,,00217.549680,A2_24,0.026
,,00217.581120,A2_22,0.016
,,00217.623200,A2_66,0.023
,,00217.671200,A2_33,0.014
,,00217.685440,A2_33,0.014
,,00217.696080,A2_22,0.012
,,00217.708720,A2_33,0.014
,,00217.715760,A2_21,0.026
,,00217.718320,A2_66,0.02
,,00217.718400,A2_33,0.015
,,00217.720960,A2_46,0.016
,,00217.736080,A2_21,0.027
,,00217.736560,A2_33,0.014
,,00217.772560,A2_24,0.026
,,00217.777520,A2_22,0.01
,,00217.780880,A2_66,0.023
,,00217.805680,A2_12,0.018
,,00217.812160,A2_24,0.019
,,00217.821760,A2_21,0.023
,,00217.821920,A2_33,0.017
,,00217.829200,A2_14,0.012
,,00217.843040,A2_66,0.02
,,00217.849840,A2_22,0.012
,,00217.901520,A2_33,0.014
,,00217.905760,A2_66,0.018
,,00217.917280,A2_21,0.018
,,00217.927680,A2_21,0.019
,,00217.938640,A2_46,0.015
,,00217.943440,A2_66,0.019
,,00217.979600,A2_66,0.02
,,00217.980240,A2_24,0.026
,,00218.007840,A2_33,0.017
,,00218.066480,A2_33,0.014
,,00218.073280,A2_33,0.013
,,00218.166000,A2_66,0.014
,,00218.171200,A2_33,0.016
,,00218.316960,A2_33,0.011
,,00218.369040,A2_33,0.018
,,00218.369280,A2_24,0.022
,,00218.407200,A2_24,0.019
,,00218.424960,A2_66,0.02
,,00218.437120,A2_33,0.012
,,00218.456160,A2_28,0.009
,,00218.510880,A2_33,0.018
,,00218.579440,A2_33,0.02
,,00218.590880,A2_33,0.014
,,00220.141280,A2_21,0.023
,,00220.219440,A2_21,0.013
,,00220.757280,A3_67,0.015
,,00220.781920,A2_46,0.017
,,00221.627600,A2_22,0.022
,,00221.629040,A2_11,0.019
,,00221.692480,A2_24,0.027
,,00221.704400,A2_24,0.021
,,00221.743360,A2_66,0.019
,,00221.765040,A2_46,0.02
,,00221.772240,A2_33,0.016
,,00221.791120,A2_33,0.015
,,00221.799120,A2_56,0.013
,,00221.814080,A2_24,0.027
,,00221.826400,A2_21,0.026
,,00221.831120,A2_66,0.022
,,00221.832720,A2_24,0.023
,,00221.832800,A2_33,0.014
,,00221.835920,A2_33,0.015
